filename,label
001.jpg,not_tawny
001.jpg,not_tawny
002.jpg,not_tawny
003.jpg,not_tawny
004.jpg,not_tawny
005.jpg,not_tawny
006.jpg,not_tawny
007.jpg,not_tawny
008.jpg,not_tawny
009.jpg,not_tawny
010.jpg,not_tawny
011.jpg,is_tawny
012.jpg,is_tawny
013.jpg,not_tawny
014.jpg,not_tawny
015.jpg,not_tawny
016.jpg,not_tawny
017.jpg,is_tawny
018.jpg,is_tawny
019.jpg,not_tawny
020.jpg,not_tawny
021.jpg,not_tawny
022.png,is_tawny
023.jpg,is_tawny
024.jpg,is_tawny
025.jpg,not_tawny
026.jpg,not_tawny
027.jpg,not_tawny
028.jpg,not_tawny
029.jpg,not_tawny
030.jpg,is_tawny
031.jpg,is_tawny
032.jpg,not_tawny
033.jpg,is_tawny
034.jpg,is_tawny
035.jpg,is_tawny
036.jpg,not_tawny
037.jpg,is_tawny
038.jpg,is_tawny
039.jpg,not_tawny
040.jpg,not_tawny
041.jpg,is_tawny
042.jpg,is_tawny
043.jpg,is_tawny
044.jpg,is_tawny
045.jpg,is_tawny
046.jpg,is_tawny
047.jpg,is_tawny
048.jpg,is_tawny
049.jpg,is_tawny
050.jpg,not_tawny
051.png,is_tawny
052.jpg,is_tawny
053.jpg,is_tawny
054.jpg,is_tawny
055.jpg,not_tawny
056.jpg,not_tawny
057.jpg,is_tawny
058.jpg,is_tawny
059.jpg,is_tawny
060.jpg,is_tawny
061.jpg,is_tawny
062.jpg,is_tawny
063.jpg,not_tawny
064.jpg,not_tawny
065.jpg,not_tawny
066.jpg,is_tawny
